Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava_;Provajder
R_5792_PFL_5792PFL                      ;2025-01-01;5;1;5;5;5;5;0;0;0;0;0;6;NTHMedia_S
R_8809_SKUEEDIO_8809SKUEEDIO            ;2025-01-01;5;1;5;5;5;5;0;0;0;0;0;6;NTHMedia_S
S___1030HOT                             ;2025-01-01;150;243;36450;36450;29850;29850;6600;6600;0;0;0;35820;NTHMedia_S
S___1030LET                             ;2025-01-01;300;84;25200;25200;20700;20700;4500;4500;0;0;0;24840;NTHMedia_S
S___1030SPA                             ;2025-01-01;300;12;3600;3600;2100;2100;1500;1500;0;0;0;2520;NTHMedia_S
S___1123FT                              ;2025-01-01;150;26;3900;3900;3900;3900;0;0;0;0;0;4680;NTHMedia_S
S___1123FV                              ;2025-01-01;150;54;8100;8100;8100;8100;0;0;0;0;0;9720;NTHMedia_S
S___1123GA                              ;2025-01-01;150;8;1200;1200;0;0;1200;1200;0;0;0;0;NTHMedia_S
S___1123HV                              ;2025-01-01;150;42;6300;6300;3750;3750;2550;2550;0;0;0;4500;NTHMedia_S
S___1123MV                              ;2025-01-01;150;183;27450;27450;22350;22350;5100;5100;0;0;0;26820;NTHMedia_S
S___1123MX                              ;2025-01-01;150;218;32700;32700;28650;28650;4050;4050;0;0;0;34380;NTHMedia_S
S___1518IGRA                            ;2025-01-01;150;9;1350;1350;1350;1350;0;0;0;0;0;1620;NTHMedia_S
S___1553GAMMA                           ;2025-01-01;300;610;183000;183000;118800;118800;64200;64200;0;0;0;142560;NTHMedia_S
S___1553Hd                              ;2025-01-01;150;82;12300;12300;9600;9600;2700;2700;0;0;0;11520;NTHMedia_S
S___1553OCISTI                          ;2025-01-01;300;152;45600;45600;35400;35400;10200;10200;0;0;0;42480;NTHMedia_S
S___1553VID                             ;2025-01-01;150;11;1650;1650;1650;1650;0;0;0;0;0;1980;NTHMedia_S
S___1553XONE                            ;2025-01-01;150;3086;462900;462900;345900;345900;117000;117000;0;0;0;415080;NTHMedia_S
S___1554AA                              ;2025-01-01;150;30;4500;4500;3000;3000;1500;1500;0;0;0;3600;NTHMedia_S
S___1554APC                             ;2025-01-01;300;16310;4893000;4893000;3817200;3817200;1075800;1075800;0;0;0;4580640;NTHMedia_S
S___1554EVG                             ;2025-01-01;150;1421;213150;213150;154950;154950;58200;58200;0;0;0;185940;NTHMedia_S
S___1554FB                              ;2025-01-01;300;17;5100;5100;2700;2700;2400;2400;0;0;0;3240;NTHMedia_S
S___1554Gutanje                         ;2025-01-01;150;4;600;600;600;600;0;0;0;0;0;720;NTHMedia_S
S___1554Hit                             ;2025-01-01;150;4;600;600;600;600;0;0;0;0;0;720;NTHMedia_S
S___1554Horny                           ;2025-01-01;150;9;1350;1350;1350;1350;0;0;0;0;0;1620;NTHMedia_S
S___1554JPLAY                           ;2025-01-01;150;15;2250;2250;2250;2250;0;0;0;0;0;2700;NTHMedia_S
