Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava*;Provajder
S___2229WapLandClub19                   ;2025-01;75;5;375;375;0;375;0;0;0;0;0;0;NTHMedia_S
S___2229WapLandKids11                   ;2025-01;90;77;6930;6930;990;6930;0;0;0;0;0;1188;NTHMedia_S
S___2229WapLandKids27                   ;2025-01;150;20;3000;3000;750;3000;0;0;0;0;0;900;NTHMedia_S
S___2345sedmica                         ;2025-01;35;4;140;140;140;140;0;0;0;0;0;168;NTHMedia_S
S___2778Erov2                           ;2025-01;300;59;17700;17700;4200;14700;3000;3000;0;0;0;5040;NTHMedia_S
S___2778Erov3                           ;2025-01;500;5;2500;2500;0;2000;500;500;0;0;0;0;NTHMedia_S
S___4011BRAIN                           ;2025-01;150;2573;385950;385950;62400;357750;28200;28200;0;0;0;74880;NTHMedia_S
S___4011MEMO                            ;2025-01;150;9;1350;1350;1350;1350;0;0;0;0;0;1620;NTHMedia_S
S___4014HID                             ;2025-01;300;32;9600;9600;3000;9600;0;0;0;0;0;3600;NTHMedia_S
S___4016OCISTI                          ;2025-01;300;86;25800;25800;1200;19500;6300;6300;0;0;0;1440;NTHMedia_S
S___4016RIPPLE                          ;2025-01;150;1;150;150;150;150;0;0;0;0;0;180;NTHMedia_S
S___4025FB                              ;2025-01;150;361;54150;54150;9000;52800;1350;1350;0;0;0;10800;NTHMedia_S
S___4025TH                              ;2025-01;300;198;59400;59400;9000;57900;1500;1500;0;0;0;10800;NTHMedia_S
S___4091MS                              ;2025-01;300;6778;2033400;2033400;362100;1916400;117000;117000;0;0;0;434520;NTHMedia_S
S___4092ASTRO                           ;2025-01;300;114;34200;34200;6600;31200;3000;3000;0;0;0;7920;NTHMedia_S
S___4092GAMI                            ;2025-01;300;1595;478500;478500;84900;454500;24000;24000;0;0;0;101880;NTHMedia_S
S___4092M360                            ;2025-01;300;615;184500;184500;33600;174000;10500;10500;0;0;0;40320;NTHMedia_S
S___4092PLAY                            ;2025-01;300;98;29400;29400;6600;27900;1500;1500;0;0;0;7920;NTHMedia_S
S___4093STREAM                          ;2025-01;150;1716;257400;257400;56250;246150;11250;11250;0;0;0;67500;NTHMedia_S
S___4094ABC                             ;2025-01;150;442;66300;66300;13200;63900;2400;2400;0;0;0;15840;NTHMedia_S
S___4094HUB                             ;2025-01;150;7498;1124700;1124700;174000;1076550;48150;48150;0;0;0;208800;NTHMedia_S
S___4272SM                              ;2025-01;300;7851;2355300;2355300;402300;2239500;115800;115800;0;0;0;482760;NTHMedia_S
S___4505AUGIE                           ;2025-01;300;69;20700;20700;3300;18600;2100;2100;0;0;0;3960;NTHMedia_S
S___4514AA                              ;2025-01;150;8;1200;1200;0;1200;0;0;0;0;0;0;NTHMedia_S
S___4514BA                              ;2025-01;300;4;1200;1200;0;1200;0;0;0;0;0;0;NTHMedia_S
S___4514CLUBEX                          ;2025-01;150;6;900;900;0;900;0;0;0;0;0;0;NTHMedia_S
S___4516ASTRO                           ;2025-01;150;115;17250;17250;3600;13500;3750;3750;0;0;0;4320;NTHMedia_S
S___4516CLEAN                           ;2025-01;150;35;5250;5250;300;5250;0;0;0;0;0;360;NTHMedia_S
S___4516DANCE                           ;2025-01;150;129;19350;19350;2550;18150;1200;1200;0;0;0;3060;NTHMedia_S
S___4516IQ                              ;2025-01;150;950;142500;142500;25800;133350;9150;9150;0;0;0;30960;NTHMedia_S
S___4516KLICK                           ;2025-01;150;534;80100;80100;9750;75900;4200;4200;0;0;0;11700;NTHMedia_S
S___4516LOL                             ;2025-01;150;65;9750;9750;1050;7650;2100;2100;0;0;0;1260;NTHMedia_S
S___4516LUNA                            ;2025-01;150;20;3000;3000;1500;3000;0;0;0;0;0;1800;NTHMedia_S
S___4516PIC                             ;2025-01;150;775;116250;116250;18900;112200;4050;4050;0;0;0;22680;NTHMedia_S
S___4516SPICY                           ;2025-01;150;2238;335700;335700;75300;316800;18900;18900;0;0;0;90360;NTHMedia_S
S___4516WELL                            ;2025-01;150;171;25650;25650;9000;24150;1500;1500;0;0;0;10800;NTHMedia_S
S___4516WOW                             ;2025-01;150;111;16650;16650;1800;13500;3150;3150;0;0;0;2160;NTHMedia_S
S___4557HUB                             ;2025-01;150;346;51900;51900;9450;48150;3750;3750;0;0;0;11340;NTHMedia_S
S___4800FB                              ;2025-01;150;40;6000;6000;1350;6000;0;0;0;0;0;1620;NTHMedia_S
S___4800ON                              ;2025-01;150;5;750;750;0;750;0;0;0;0;0;0;NTHMedia_S
S___4820AW                              ;2025-01;150;584;87600;87600;14100;75600;12000;12000;0;0;0;16920;NTHMedia_S
S___4822KC                              ;2025-01;300;28;8400;8400;300;8400;0;0;0;0;0;360;NTHMedia_S
S___5060FC                              ;2025-01;300;768;230400;230400;33600;221700;8700;8700;0;0;0;40320;NTHMedia_S
S___5200GAM                             ;2025-01;150;2622;393300;393300;75900;374250;19050;19050;0;0;0;91080;NTHMedia_S
S___5225AP                              ;2025-01;150;118;17700;17700;6000;14550;3150;3150;0;0;0;7200;NTHMedia_S
S___5225FC                              ;2025-01;150;4573;685950;685950;130950;642600;43350;43350;0;0;0;157140;NTHMedia_S
S___5225GET                             ;2025-01;300;1016;304800;304800;56400;280200;24600;24600;0;0;0;67680;NTHMedia_S
S___5444CF                              ;2025-01;300;1030;309000;309000;42900;280200;28800;28800;0;0;0;51480;NTHMedia_S
S___5444PT                              ;2025-01;300;1158;347400;347400;49200;325200;22200;22200;0;0;0;59040;NTHMedia_S
