parkingServiceId,serviceId,group,serviceName,price,date,quantity,amount
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,14.05.2025,2.0,65.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,15.05.2025,8.0,260.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,16.05.2025,7.0,227.5
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,17.05.2025,2.0,65.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,19.05.2025,10.0,325.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,20.05.2025,2.0,65.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,21.05.2025,2.0,65.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,22.05.2025,6.0,195.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,23.05.2025,5.0,162.5
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,24.05.2025,7.0,227.5
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,26.05.2025,5.0,162.5
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,27.05.2025,1.0,32.5
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,28.05.2025,8.0,260.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,29.05.2025,6.0,195.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,30.05.2025,2.0,65.0
3810199d-5f59-45e2-adbf-265825072cbf,a512981a-f255-4506-b702-4e433ac552c3,prepaid,S_9410__9410LjigPrvaZona,39.0,31.05.2025,1.0,32.5
3810199d-5f59-45e2-adbf-265825072cbf,33d7638d-be7c-4539-a78a-0f648c131acb,prepaid,S_9411__9411LjigPrvaZonaCelodnevna,150.0,18.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,03.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,09.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,15.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,16.05.2025,2.0,250.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,19.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,20.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,21.05.2025,2.0,250.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,23.05.2025,2.0,250.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,26.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,27.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,28.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,29.05.2025,1.0,125.0
3810199d-5f59-45e2-adbf-265825072cbf,31a8e481-a5d9-4843-bc4c-3b4750ce9cc9,prepaid,S_9418__9418LjigPrvaZonaKamioni,150.0,30.05.2025,1.0,125.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,03.05.2025,1.0,33.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,05.05.2025,6.0,200.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,06.05.2025,11.0,366.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,07.05.2025,7.0,233.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,08.05.2025,9.0,300.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,09.05.2025,14.0,466.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,10.05.2025,7.0,233.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,11.05.2025,1.0,33.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,12.05.2025,20.0,666.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,13.05.2025,4.0,133.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,14.05.2025,9.0,300.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,15.05.2025,6.0,200.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,16.05.2025,5.0,166.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,17.05.2025,3.0,100.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,19.05.2025,10.0,333.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,20.05.2025,3.0,100.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,21.05.2025,5.0,166.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,22.05.2025,8.0,266.67
