provider_name,agreement_name,service_name,step_name,sender_name,requests,message_parts
"NTHMedia","NthBulkOnDemand","NIS_UPS_MAX_NthSpK","MT","NIS.UPS.MAX","978","2357"
"NTHMedia","NTHBulkFull","S1599TRGOCENTAR","PureMT","TRGOCENTAR","943","2313"
"Akton_Bulk","BulkOnDemand","SrnAlgBO","PureMT","StanNaDan","1513","2312"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","SMSakt","1153","2311"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","ATOS BANK","2303","2303"
"Infobip","InfobipBulkSubscription","ORIFLAME","MtSms","ORIFLAME","1744","2282"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","Everybody","2279","2279"
"NTHMedia","NTHBulkFull","S1599OSRB","PureMT","OSRB","1018","2268"
"Akton_Bulk","BulkSubscriptionStarion","SrnAstro","Delivery","Astro","2241","2241"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr2","Delivery","ButikDeNiro","2230","2230"
"ComTradeITSS","ComTradeITSSBulkOnDemand","MT_SpecialCharSender","Pure_MT","FLY_LONDON","2228","2228"
"Fonlider","OneClickPureMTbulk","OneClickSMSBulk1","PureMT","Moravacem","2103","2217"
"NTHMedia","NthBulkOnDemand","N1599tenfore","MT","tenfore","2203","2203"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","HONOR","2146","2168"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","AktonSMS","2158","2158"
"Infobip","InfobipBulkSubscription","TaxiServis","Delivery","PomocNaPutu","864","2146"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","AdmiralCode","1981","2125"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","SavaOs","2093","2093"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","EAGLEHILLS","1036","2083"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","DDTICKETS","513","2071"
"NTHMedia","NTHBulkFull","S1599Attipas","PureMT","Attipas","2059","2059"
"Akton_Bulk","BulkOnDemand","SrnAlgBO","PureMT","SBB_OTP","2048","2048"
"NTHMedia","NthBulkOnDemand","N_1599ePP","MT","ePP","1973","1973"
"Akton_Bulk","BulkSubscriptionStarion","EuroDirektBulk","Delivery","EuroDirekt","767","1958"
"Infobip","InfobipBulkSubscription","UniquaBulk","Delivery","UNIQA","869","1954"
"NTHMedia","NthBulkOnDemand","N1599_BMW_Srbija","MT","BMW_Srbija","644","1903"
"NTHMedia","NTHBulkFull","S1599NERETVA","PureMT","NERETVA","1878","1878"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR2","Delivery","Corteva","526","1857"
"NTHMedia","NTHBulkFull","S1599JOKO","PureMT","JOKO","1847","1847"
"Akton_Bulk","BulkSubscriptionStarion","LadyDI","Delivery","LadyDI","1843","1843"
"NTHMedia","NTHBulkFull","S15991441","PureMT","1441","1814","1814"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","KING.info","1031","1808"
"Infobip","InfobipBulkAnketa","4477_PovejSefudoo_anketa","Anketa","4477","1712","1712"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","udruzenje","1679","1679"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","ParkingInfo","1677","1678"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","OZ_Mjob","1671","1671"
"Akton_Bulk","BulkSubscriptionStarion","SrnPo_MobilityDr","Delivery","Po_Mobility","1163","1626"
"Akton_Bulk","BulkSubscriptionStarion","SrnPo_LeasingDr","Delivery","Po_Leasing","712","1581"
"CePP","CeppBulkOnDemand","CePP_InfoStanjeSender","Isporuka","SynapseInfo","1194","1533"
"NTHMedia","NTHBulkFull","S1599AMSS","PureMT","AMSS","975","1521"
"ComTradeITSS","ComTradeITSSBulkAnketa","3737BulkAnketaRaiffeisen","Anketa","3737","506","1518"
